seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
70,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,0,,0.870,1.250,2036-01-01,2038-09-01,2038-06-01,53,33,33
71,1,0,RUS>UKR@2035-04:grievance,0,,,1,junta,electoral-authoritarian,1,7,,0.914,1.221,2036-01-01,2038-08-01,2038-05-01,52,36,42
72,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.889,1.197,2036-01-01,2038-09-01,2038-05-01,56,33,32
73,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.926,1.203,2036-01-01,2038-09-01,2038-06-01,52,42,32
74,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,4,,0.905,1.273,2036-01-01,2038-09-01,2038-05-01,52,41,32
75,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.919,1.228,2036-01-01,2038-09-01,2038-07-01,53,33,33
76,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,6,,0.906,1.186,2035-12-01,2038-09-01,2038-05-01,53,30,32
77,1,0,RUS>UKR@2032-03:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.863,1.180,2036-01-01,2038-09-01,2038-05-01,48,31,41
78,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,0,,0.917,1.183,2036-01-01,2038-09-01,2038-06-01,43,34,31
79,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.912,1.388,2036-01-01,2038-09-01,2039-05-01,57,39,30
80,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.918,1.249,2036-01-01,2038-09-01,2038-06-01,52,35,33
81,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.913,1.217,2036-01-01,2038-09-01,2038-06-01,55,28,31
82,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,6,,0.920,1.181,2036-01-01,2038-09-01,2038-04-01,55,34,30
83,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.902,1.205,2036-01-01,2038-09-01,2038-05-01,52,35,30
84,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.936,1.264,2036-01-01,2038-09-01,2038-07-01,53,33,32
85,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.915,1.250,2036-01-01,2038-09-01,2038-05-01,51,34,31
86,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.886,1.172,2036-01-01,2038-09-01,2038-07-01,56,32,34
87,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.905,1.213,2036-01-01,2038-09-01,2038-05-01,59,36,32
88,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.908,1.261,2036-01-01,2038-09-01,2038-07-01,58,36,31
89,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.894,1.220,2036-01-01,2038-09-01,2038-08-01,50,31,31
90,0,0,,0,,UKR@2028-01-01,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.886,1.296,2036-01-01,2038-09-01,2038-06-01,48,38,32
91,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,5,,0.910,1.181,2036-01-01,2038-09-01,2039-04-01,51,44,31
92,1,0,RUS>UKR@2033-01:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.926,1.299,2036-01-01,2038-08-01,2040-04-01,49,39,41
93,1,0,RUS>UKR@2031-05:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.866,1.222,2036-01-01,2038-08-01,2038-05-01,46,38,40
94,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.910,1.318,2036-01-01,2038-09-01,2038-07-01,50,38,31
95,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.919,1.211,2036-01-01,2038-09-01,2039-01-01,64,40,33
96,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.924,1.196,2036-01-01,2038-09-01,2038-09-01,52,31,32
97,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.925,1.417,2036-01-01,2038-09-01,2039-03-01,73,33,30
98,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.928,1.231,2036-01-01,2038-09-01,2038-07-01,59,34,33
99,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.909,1.221,2036-01-01,2038-09-01,2038-05-01,53,30,32
100,0,0,,0,,,1,parliamentary,electoral-authoritarian,1,5,,0.911,1.198,2036-01-01,2038-09-01,2039-01-01,55,40,30
