# World Bank Open Data AG.PRD.CREL.MT, last updated 2026-07-13, CC BY 4.0
iso3,year,value
IDN,2011,75902250
IDN,2012,79092022
IDN,2013,78606853
IDN,2014,78067426
IDN,2015,80643435
IDN,2016,77609413
IDN,2017,80416000
IDN,2018,78040534
IDN,2019,74254033
IDN,2020,71575202.24
IDN,2021,72561911.22
IDN,2022,77105730.08
IDN,2023,73966646
IND,2010,263964188.06
IND,2011,291776685.45
IND,2012,292416126.14
IND,2013,291510218.44
IND,2014,298698863.38
IND,2015,284850922
IND,2016,299053838.96
IND,2017,309663380.51
IND,2018,320692531.88
IND,2019,323957437.96
IND,2020,341446939.74
IND,2021,355529808.53
IND,2022,353766052.45
IND,2023,373583926.89
IND,2024,391123857.84
IRL,2010,2043780.93
IRL,2011,2512186.79
IRL,2012,2127500
IRL,2013,2403000
IRL,2014,2599817.27
IRL,2015,2635748.65
IRL,2016,2312985.31
IRL,2017,2394645.57
IRL,2018,1784900
IRL,2019,2267990
IRL,2020,1892640
IRL,2021,2363950
IRL,2022,2485680
IRL,2023,1902430
IRL,2024,1896580
IRN,2010,19597231.3
IRN,2011,15018275.96
IRN,2012,15777121.79
IRN,2013,16427670.68
IRN,2014,17551045
IRN,2015,18255384.86
IRN,2016,22419770.81
IRN,2017,19286154.53
IRN,2018,20130243.11
IRN,2019,22314123.14
IRN,2020,22573920.03
IRN,2021,18297823.18
IRN,2022,20162028.86
IRN,2023,20964153.27
IRQ,2010,4362383
IRQ,2011,4270151
IRQ,2012,4790950
IRQ,2013,6950373
IRQ,2014,7451634
IRQ,2015,3580324.91
IRQ,2016,4189005
IRQ,2017,4001107
IRQ,2018,2633473
IRQ,2019,7488255
IRQ,2020,9349401
IRQ,2021,5651910.37
IRQ,2022,3724302.96
IRQ,2023,5224352.42
ISL,2015,4637
ISL,2016,7389
ISL,2017,7400
ISL,2018,3900
ISL,2019,7900
ISL,2020,7287
ISL,2021,7490
ISL,2022,8900
ISL,2023,7679
ISR,2010,241055.51
ISR,2011,273519.91
ISR,2012,356387.62
ISR,2013,336558.34
ISR,2014,372420.26
ISR,2015,321746.39
ISR,2016,262284.33
ISR,2017,173788.48
ISR,2018,150689.74
ISR,2019,184113.18
ISR,2020,246807.47
ISR,2021,268351.8
ISR,2022,241004.19
ISR,2023,232342.59
ITA,2010,18502904
ITA,2011,19521138.3
ITA,2012,18594125.5
ITA,2013,18214664
ITA,2014,19396843.8
ITA,2015,17694873.4
ITA,2016,18219221
ITA,2017,16251718
ITA,2018,16548350
ITA,2019,16363450
ITA,2020,16945440
ITA,2021,16568150
ITA,2022,14300570
ITA,2023,15452820
JAM,2010,2626
JAM,2011,2967.7
JAM,2012,3121
JAM,2013,2996
JAM,2014,2512
JAM,2015,2365
JAM,2016,2353.6
JAM,2017,2540
JAM,2018,2177.09
JAM,2019,2059
JAM,2020,2018
JAM,2021,2122
JAM,2022,2426
JAM,2023,2291
JOR,2010,58260
JOR,2011,66582
JOR,2012,69627
JOR,2013,87914
JOR,2014,81280
JOR,2015,68941
JOR,2016,69268
JOR,2017,62088
JOR,2018,67328
JOR,2019,93258
JOR,2020,114192
JOR,2021,102554
JOR,2022,50899.5
JOR,2023,79359.9
JOR,2024,84011.52
