seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
89,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,8,,0.902,1.231,2035-12-01,2038-10-01,2038-08-01,53,37,126
90,0,0,,0,,UKR@2029-03-01,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.878,1.386,2035-12-01,2038-10-01,2038-04-01,61,35,115
91,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.900,1.201,2035-12-01,2038-09-01,2038-07-01,48,32,111
92,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.901,1.187,2035-12-01,2038-10-01,2039-01-01,59,40,118
93,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.883,1.267,2035-12-01,2038-10-01,2039-03-01,55,37,117
94,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.921,1.290,2035-12-01,2038-09-01,2039-04-01,63,36,123
95,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.919,1.269,2035-12-01,2038-10-01,2039-04-01,57,41,122
96,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,5,9,,0.897,1.206,2035-12-01,2038-10-01,2038-08-01,54,34,121
97,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.920,1.248,2035-12-01,2038-11-01,2038-04-01,58,33,115
98,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.891,1.213,2035-12-01,2038-10-01,2038-12-01,61,38,114
99,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,2,0,,0.873,1.222,2035-12-01,2038-10-01,2039-06-01,50,41,109
100,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.914,1.148,2036-01-01,2038-10-01,2038-05-01,51,34,108
